Date,Country,Total
2016-11-27T00:00:00Z,France,30944
2016-11-27T00:00:00Z,Ireland,4625
2016-11-27T00:00:00Z,Luxembourg,1269
2016-11-27T00:00:00Z,Netherlands,9325
2016-11-27T00:00:00Z,United Kingdom,35316
2016-12-04T00:00:00Z,Belgium,5996
2016-12-04T00:00:00Z,France,30881
2016-12-04T00:00:00Z,Ireland,4637
2016-12-04T00:00:00Z,Luxembourg,1284
2016-12-04T00:00:00Z,Netherlands,9319
2016-12-04T00:00:00Z,United Kingdom,35344
2016-12-11T00:00:00Z,Belgium,6084
2016-12-11T00:00:00Z,France,32196
2016-12-11T00:00:00Z,Ireland,4691
2016-12-11T00:00:00Z,Luxembourg,1273
2016-12-11T00:00:00Z,Netherlands,9292
2016-12-11T00:00:00Z,United Kingdom,36578
2016-12-18T00:00:00Z,Belgium,6007
2016-12-18T00:00:00Z,France,30600
2016-12-18T00:00:00Z,Ireland,4758
2016-12-18T00:00:00Z,Luxembourg,1231
2016-12-18T00:00:00Z,Netherlands,9315
2016-12-18T00:00:00Z,United Kingdom,36329
2016-12-25T00:00:00Z,Belgium,4653
2016-12-25T00:00:00Z,France,25687
2016-12-25T00:00:00Z,Ireland,3927
2016-12-25T00:00:00Z,Luxembourg,886
2016-12-25T00:00:00Z,Netherlands,7979
2016-12-25T00:00:00Z,United Kingdom,29260
2017-01-01T00:00:00Z,Belgium,5208
2017-01-01T00:00:00Z,France,28660
2017-01-01T00:00:00Z,Ireland,4749
2017-01-01T00:00:00Z,Luxembourg,973
2017-01-01T00:00:00Z,Netherlands,8789
2017-01-01T00:00:00Z,United Kingdom,34516
2017-01-08T00:00:00Z,Belgium,5460
2017-01-08T00:00:00Z,France,28764
2017-01-08T00:00:00Z,Ireland,4487
2017-01-08T00:00:00Z,Luxembourg,1098
2017-01-08T00:00:00Z,Netherlands,8820
2017-01-08T00:00:00Z,United Kingdom,33408
2017-01-15T00:00:00Z,Belgium,5604
2017-01-15T00:00:00Z,France,29521
2017-01-15T00:00:00Z,Ireland,4443
2017-01-15T00:00:00Z,Luxembourg,1156
2017-01-15T00:00:00Z,Netherlands,8899
2017-01-15T00:00:00Z,United Kingdom,33670
2017-01-22T00:00:00Z,Belgium,5679
2017-01-22T00:00:00Z,France,29397
2017-01-22T00:00:00Z,Ireland,4343
2017-01-22T00:00:00Z,Luxembourg,1196
2017-01-22T00:00:00Z,Netherlands,8731
2017-01-22T00:00:00Z,United Kingdom,33003
2017-01-29T00:00:00Z,Belgium,5674
2017-01-29T00:00:00Z,France,29684
2017-01-29T00:00:00Z,Ireland,4437
2017-01-29T00:00:00Z,Luxembourg,1109
2017-01-29T00:00:00Z,Netherlands,8950
2017-01-29T00:00:00Z,United Kingdom,34479
2017-02-05T00:00:00Z,Belgium,5700
2017-02-05T00:00:00Z,France,31116
2017-02-05T00:00:00Z,Ireland,4562
2017-02-05T00:00:00Z,Luxembourg,1185
2017-02-05T00:00:00Z,Netherlands,9130
2017-02-05T00:00:00Z,United Kingdom,35744
2017-02-12T00:00:00Z,Belgium,5841
2017-02-12T00:00:00Z,France,31499
2017-02-12T00:00:00Z,Ireland,4600
2017-02-12T00:00:00Z,Luxembourg,1232
2017-02-12T00:00:00Z,Netherlands,9432
2017-02-12T00:00:00Z,United Kingdom,36509
2017-02-19T00:00:00Z,Belgium,5895
2017-02-19T00:00:00Z,France,32002
2017-02-19T00:00:00Z,Ireland,4731
2017-02-19T00:00:00Z,Luxembourg,1174
2017-02-19T00:00:00Z,Netherlands,9349
2017-02-19T00:00:00Z,United Kingdom,36680
2017-02-26T00:00:00Z,Belgium,5842
2017-02-26T00:00:00Z,France,31872
2017-02-26T00:00:00Z,Ireland,4755
2017-02-26T00:00:00Z,Luxembourg,1228
2017-02-26T00:00:00Z,Netherlands,9727
2017-02-26T00:00:00Z,United Kingdom,36520
2017-03-05T00:00:00Z,Belgium,5916
2017-03-05T00:00:00Z,France,30131
2017-03-05T00:00:00Z,Ireland,4797
2017-03-05T00:00:00Z,Luxembourg,1203
2017-03-05T00:00:00Z,Netherlands,9932
2017-03-05T00:00:00Z,United Kingdom,36268
2017-03-12T00:00:00Z,Belgium,5995
2017-03-12T00:00:00Z,France,33122
2017-03-12T00:00:00Z,Ireland,5045
2017-03-12T00:00:00Z,Luxembourg,1210
2017-03-12T00:00:00Z,Netherlands,9945
2017-03-12T00:00:00Z,United Kingdom,36605
2017-03-19T00:00:00Z,Belgium,6002
2017-03-19T00:00:00Z,France,32556
2017-03-19T00:00:00Z,Ireland,4931
2017-03-19T00:00:00Z,Luxembourg,1277
2017-03-19T00:00:00Z,Netherlands,9742
2017-03-19T00:00:00Z,United Kingdom,36672
2017-03-26T00:00:00Z,Belgium,6560
2017-03-26T00:00:00Z,France,35176
2017-03-26T00:00:00Z,Ireland,5254
2017-03-26T00:00:00Z,Luxembourg,1387
2017-03-26T00:00:00Z,Netherlands,10476
2017-03-26T00:00:00Z,United Kingdom,39605
2017-04-02T00:00:00Z,Belgium,6540
2017-04-02T00:00:00Z,France,35524
2017-04-02T00:00:00Z,Ireland,5339
2017-04-02T00:00:00Z,Luxembourg,1412
2017-04-02T00:00:00Z,Netherlands,10632
2017-04-02T00:00:00Z,United Kingdom,39992
2017-04-09T00:00:00Z,Belgium,6349
2017-04-09T00:00:00Z,France,37026
2017-04-09T00:00:00Z,Ireland,5342
2017-04-09T00:00:00Z,Luxembourg,1399
2017-04-09T00:00:00Z,Netherlands,10691
2017-04-09T00:00:00Z,United Kingdom,39453
2017-04-16T00:00:00Z,Belgium,6385
2017-04-16T00:00:00Z,France,36040
2017-04-16T00:00:00Z,Ireland,5391
2017-04-16T00:00:00Z,Luxembourg,1403
2017-04-16T00:00:00Z,Netherlands,10950
2017-04-16T00:00:00Z,United Kingdom,39574
2017-04-23T00:00:00Z,Belgium,6711
2017-04-23T00:00:00Z,France,37538
2017-04-23T00:00:00Z,Ireland,5571
2017-04-23T00:00:00Z,Luxembourg,1468
2017-04-23T00:00:00Z,Netherlands,11285
2017-04-23T00:00:00Z,United Kingdom,40526
2017-04-30T00:00:00Z,Belgium,6752
2017-04-30T00:00:00Z,France,36756
2017-04-30T00:00:00Z,Ireland,5592
2017-04-30T00:00:00Z,Luxembourg,1381
2017-04-30T00:00:00Z,Netherlands,11250
2017-04-30T00:00:00Z,United Kingdom,41057
2017-05-07T00:00:00Z,Belgium,6833
2017-05-07T00:00:00Z,France,37319
2017-05-07T00:00:00Z,Ireland,5783
2017-05-07T00:00:00Z,Luxembourg,1470
2017-05-07T00:00:00Z,Netherlands,11385
2017-05-07T00:00:00Z,United Kingdom,42391
2017-05-14T00:00:00Z,Belgium,6988
2017-05-14T00:00:00Z,France,38901
2017-05-14T00:00:00Z,Ireland,5839
2017-05-14T00:00:00Z,Luxembourg,1499
2017-05-14T00:00:00Z,Netherlands,11520
2017-05-14T00:00:00Z,United Kingdom,42974
2017-05-21T00:00:00Z,Belgium,6974
2017-05-21T00:00:00Z,France,37588
2017-05-21T00:00:00Z,Ireland,5951
2017-05-21T00:00:00Z,Luxembourg,1456
2017-05-21T00:00:00Z,Netherlands,11536
2017-05-21T00:00:00Z,United Kingdom,43631
2017-05-28T00:00:00Z,Belgium,7167
2017-05-28T00:00:00Z,France,39652
2017-05-28T00:00:00Z,Ireland,6019
2017-05-28T00:00:00Z,Luxembourg,1482
2017-05-28T00:00:00Z,Netherlands,11365
2017-05-28T00:00:00Z,United Kingdom,43459
2017-06-04T00:00:00Z,Belgium,6927
2017-06-04T00:00:00Z,France,37833
2017-06-04T00:00:00Z,Ireland,6120
2017-06-04T00:00:00Z,Luxembourg,1488
2017-06-04T00:00:00Z,Netherlands,11227
2017-06-04T00:00:00Z,United Kingdom,43989
2017-06-11T00:00:00Z,Belgium,7027
2017-06-11T00:00:00Z,France,40339
2017-06-11T00:00:00Z,Ireland,6259
2017-06-11T00:00:00Z,Luxembourg,1505
2017-06-11T00:00:00Z,Netherlands,11462
2017-06-11T00:00:00Z,United Kingdom,44335
2017-06-18T00:00:00Z,Belgium,7175
2017-06-18T00:00:00Z,France,40554
2017-06-18T00:00:00Z,Ireland,6377
2017-06-18T00:00:00Z,Luxembourg,1547
2017-06-18T00:00:00Z,Netherlands,11466
2017-06-18T00:00:00Z,United Kingdom,44486
2017-06-25T00:00:00Z,Belgium,7195
2017-06-25T00:00:00Z,France,41077
2017-06-25T00:00:00Z,Ireland,6357
2017-06-25T00:00:00Z,Luxembourg,1481
2017-06-25T00:00:00Z,Netherlands,11534
2017-06-25T00:00:00Z,United Kingdom,44722
2017-07-02T00:00:00Z,Belgium,7330
2017-07-02T00:00:00Z,France,42246
2017-07-02T00:00:00Z,Ireland,6251
2017-07-02T00:00:00Z,Luxembourg,1522
2017-07-02T00:00:00Z,Netherlands,11620
2017-07-02T00:00:00Z,United Kingdom,44918
2017-07-09T00:00:00Z,Belgium,7185
2017-07-09T00:00:00Z,France,40378
2017-07-09T00:00:00Z,Ireland,6295
2017-07-09T00:00:00Z,Luxembourg,1459
2017-07-09T00:00:00Z,Netherlands,11633
2017-07-09T00:00:00Z,United Kingdom,44838
2017-07-16T00:00:00Z,Belgium,7121
2017-07-16T00:00:00Z,France,40475
2017-07-16T00:00:00Z,Ireland,6287
2017-07-16T00:00:00Z,Luxembourg,1432
2017-07-16T00:00:00Z,Netherlands,11584
2017-07-16T00:00:00Z,United Kingdom,44604
2017-07-23T00:00:00Z,Belgium,7195
2017-07-23T00:00:00Z,France,40555
2017-07-23T00:00:00Z,Ireland,6215
2017-07-23T00:00:00Z,Luxembourg,1407
2017-07-23T00:00:00Z,Netherlands,11652
2017-07-23T00:00:00Z,United Kingdom,44633
2017-07-30T00:00:00Z,Belgium,6965
2017-07-30T00:00:00Z,France,37950
2017-07-30T00:00:00Z,Ireland,6225
2017-07-30T00:00:00Z,Luxembourg,1344
2017-07-30T00:00:00Z,Netherlands,11616
2017-07-30T00:00:00Z,United Kingdom,44340
2017-08-06T00:00:00Z,Belgium,6779
2017-08-06T00:00:00Z,France,36948
2017-08-06T00:00:00Z,Ireland,6187
2017-08-06T00:00:00Z,Luxembourg,1306
2017-08-06T00:00:00Z,Netherlands,11511
2017-08-06T00:00:00Z,United Kingdom,43991
2017-08-13T00:00:00Z,Belgium,6820
2017-08-13T00:00:00Z,France,36233
2017-08-13T00:00:00Z,Ireland,6100
2017-08-13T00:00:00Z,Luxembourg,1337
2017-08-13T00:00:00Z,Netherlands,11409
2017-08-13T00:00:00Z,United Kingdom,44054
2017-08-20T00:00:00Z,Belgium,7048
2017-08-20T00:00:00Z,France,38488
2017-08-20T00:00:00Z,Ireland,6162
2017-08-20T00:00:00Z,Luxembourg,1358
2017-08-20T00:00:00Z,Netherlands,11587
2017-08-20T00:00:00Z,United Kingdom,44591
2017-08-27T00:00:00Z,Belgium,7188
2017-08-27T00:00:00Z,France,39794
2017-08-27T00:00:00Z,Ireland,6117
2017-08-27T00:00:00Z,Luxembourg,1388
2017-08-27T00:00:00Z,Netherlands,11580
2017-08-27T00:00:00Z,United Kingdom,44344
2017-09-03T00:00:00Z,Belgium,7194
2017-09-03T00:00:00Z,France,40124
2017-09-03T00:00:00Z,Ireland,6046
2017-09-03T00:00:00Z,Luxembourg,1437
2017-09-03T00:00:00Z,Netherlands,11575
2017-09-03T00:00:00Z,United Kingdom,45268
2017-09-10T00:00:00Z,Belgium,7098
2017-09-10T00:00:00Z,France,39483
2017-09-10T00:00:00Z,Ireland,6051
2017-09-10T00:00:00Z,Luxembourg,1471
2017-09-10T00:00:00Z,Netherlands,11250
2017-09-10T00:00:00Z,United Kingdom,44534
2017-09-17T00:00:00Z,Belgium,7127
2017-09-17T00:00:00Z,France,38769
2017-09-17T00:00:00Z,Ireland,6046
2017-09-17T00:00:00Z,Luxembourg,1537
2017-09-17T00:00:00Z,Netherlands,11588
2017-09-17T00:00:00Z,United Kingdom,44637
2017-09-24T00:00:00Z,Belgium,7109
2017-09-24T00:00:00Z,France,39824
2017-09-24T00:00:00Z,Ireland,5987
2017-09-24T00:00:00Z,Luxembourg,1499
2017-09-24T00:00:00Z,Netherlands,11507
2017-09-24T00:00:00Z,United Kingdom,44398
2017-10-01T00:00:00Z,Belgium,6808
2017-10-01T00:00:00Z,France,38152
2017-10-01T00:00:00Z,Ireland,5808
2017-10-01T00:00:00Z,Luxembourg,1438
2017-10-01T00:00:00Z,Netherlands,11003
2017-10-01T00:00:00Z,United Kingdom,43066
2017-10-08T00:00:00Z,Belgium,6685
2017-10-08T00:00:00Z,France,35736
2017-10-08T00:00:00Z,Ireland,5731
2017-10-08T00:00:00Z,Luxembourg,1518
2017-10-08T00:00:00Z,Netherlands,11457
2017-10-08T00:00:00Z,United Kingdom,41877
2017-10-15T00:00:00Z,Belgium,6847
2017-10-15T00:00:00Z,France,37315
2017-10-15T00:00:00Z,Ireland,5353
2017-10-15T00:00:00Z,Luxembourg,1468
